production_countries,id_count,latitude,longitude
Afghanistan,173,33.9391,67.71
Albania,346,41.1533,20.1683
Algeria,394,28.0339,1.6596
American Samoa,5,-14.271,-170.1322
Andorra,21,42.5078,1.5211
Angola,57,-11.2027,17.8739
Anguilla,2,18.2206,-63.0686
Antarctica,9,-90,0.0
Antigua and Barbuda,13,17.0608,-61.7964
Argentina,7065,-38.4161,-63.6167
Armenia,183,40.0691,45.0382
Aruba,15,12.5211,-69.9683
Australia,6402,-25.2744,133.7751
Austria,3955,47.5162,14.5501
Azerbaijan,207,40.1431,47.5769
Bahamas,33,25.0343,-77.3963
Bahrain,28,26.0667,50.5577
Bangladesh,716,23.685,90.3563
Barbados,23,13.1939,-59.5432
Belarus,330,53.7098,27.9534
Belgium,4531,50.8503,4.3517
Belize,16,17.1899,-88.4976
Benin,39,9.3075,2.3158
Bermuda,9,32.3078,-64.7505
Bhutan,36,27.5142,90.4336
Bolivia,191,-16.2902,-63.5887
Bosnia and Herzegovina,461,43.9159,17.6791
Botswana,26,-22.3285,24.6849
Bouvet Island,1,-54.4208,3.4139
Brazil,14230,-14.235,-51.9253
British Indian Ocean Territory,2,-6.343,71.8766
British Virgin Islands,3,18.42,-64.6399
Brunei Darussalam,21,4.5353,114.7277
Bulgaria,1033,42.7339,25.4858
Burkina Faso,131,12.2383,-1.5616
Burundi,14,-3.3731,29.9189
Cambodia,244,12.5657,104.991
Cameroon,141,3.848,11.5021
Canada,20960,56.1304,106.3468
Cape Verde,32,16.002,-24.0132
Cayman Islands,6,19.3131,-81.2546
Central African Republic,29,6.6111,20.9394
Chad,25,15.4542,18.7322
Chile,1908,-35.6751,-71.543
China,9049,35.8617,104.1954
Christmas Island,3,-10.4219,105.679
Colombia,1263,4.5709,74.2973
Comoros,9,-11.6455,43.3333
Congo,125,-0.228,15.8277
Cook Islands,4,-21.2367,-159.7777
Costa Rica,349,9.7489,-83.7534
Cote D'Ivoire,57,7.5399,-5.5471
Croatia,1050,45.1,15.2
Cuba,669,21.521,-77.7812
Cyprus,122,35.1264,33.4299
Czech Republic,6230,49.8175,15.473
Czechoslovakia,5020,15.4730,15.473
Denmark,3769,56.2639,9.5018
Djibouti,10,11.8251,42.5903
Dominica,5,15.415,-61.371
Dominican Republic,391,18.7357,70.1627
East Germany,1346,10.4515,10.4515
East Timor,1,-8.8742,125.7275
Ecuador,300,-1.8312,-78.1834
Egypt,2220,26.8206,30.8025
El Salvador,58,13.7942,-88.8965
Equatorial Guinea,11,1.65,10.2679
Eritrea,16,15.1794,39.7823
Estonia,844,58.5953,25.0136
Ethiopia,189,9.145,40.4897
Faeroe Islands,27,62,-6.75
Falkland Islands,4,-51.7963,-59.5236
Fiji,19,-17.7134,178.065
Finland,3092,61.9241,25.7482
France,36136,46.6034,1.8883
French Guiana,11,3.9339,-53.1258
French Polynesia,53,-17.6797,-149.4068
French Southern Territories,2,-49.2804,69.3486
Gabon,37,0.8037,11.6094
Gambia,13,13.4432,-15.3101
Georgia,368,42.3154,43.3569
Germany,34644,51.1657,10.4515
Ghana,169,7.9465,1.0232
Gibraltar,8,36.1408,-5.3536
Greece,3009,39.0742,21.8243
Greenland,53,71.7069,-42.6043
Grenada,7,12.2628,-61.6042
Guadaloupe,20,16.9956,62.0675
Guam,13,13.4443,144.7937
Guatemala,151,15.7835,-90.2308
Guinea,32,9.9456,-9.6966
Guinea-Bissau,34,11.8037,-15.1804
Guyana,10,4.8604,-58.9302
Haiti,84,18.9712,-72.2852
Holy See,4,41.9029,12.4534
Honduras,79,13.9094,-83.3517
Hong Kong,6098,22.3193,114.1694
Hungary,2622,47.1625,19.5033
Iceland,885,64.9631,19.0208
India,18131,20.5937,78.9629
Indonesia,3503,-0.7893,113.9213
Iran,2473,32.4279,53.688
Iraq,270,33.2232,43.6793
Ireland,2144,53.3498,6.2603
Israel,2011,31.9686,34.7709
Italy,16111,41.8719,12.5674
Jamaica,69,18.1096,-77.2975
Japan,37053,36.2048,138.2529
Jordan,107,30.8025,36.2325
Kazakhstan,828,48.0196,66.9237
Kenya,179,-1.2921,36.8219
Kiribati,8,-3.3704,-168.734
Kosovo,117,42.6026,20.9026
Kuwait,263,29.3759,47.9774
Kyrgyz Republic,92,41.2044,74.7661
Lao People's Democratic Republic,50,19.8563,102.4955
Latvia,926,56.8796,24.6032
Lebanon,565,33.8547,35.8623
Lesotho,17,-29.6098,28.2336
Liberia,21,6.4281,-9.4295
Libyan Arab Jamahiriya,32,26.3351,17.2283
Liechtenstein,38,47.1415,9.5215
Lithuania,630,55.1694,23.8813
Luxembourg,438,49.6117,6.13
Macao,116,22.1987,113.5439
Macedonia,395,41.6086,28.6723
Madagascar,65,-18.7669,46.8691
Malawi,21,-13.2543,34.3015
Malaysia,1330,4.2105,101.9758
Maldives,28,3.2028,73.2207
Mali,68,17.5707,-3.9962
Malta,95,35.9375,14.3754
Marshall Islands,9,7.1315,171.1845
Martinique,12,14.6415,-61.0242
Mauritania,27,21.0079,-10.9408
Mauritius,30,-20.3484,57.5522
Mayotte,5,-12.8275,45.1662
Mexico,10690,23.6345,102.5528
Micronesia,6,7.4256,150.5508
Moldova,64,47.4116,28.3699
Monaco,33,43.7333,7.4167
Mongolia,338,46.8625,103.8467
Montenegro,105,42.7087,19.3744
Montserrat,6,16.7425,-62.1874
Morocco,473,31.7917,7.0926
Mozambique,62,-18.6657,35.5296
Myanmar,183,21.9139,95.956
Namibia,46,-22.9576,18.4904
Nauru,1,-0.5228,166.9315
Nepal,261,28.3949,84.124
Netherlands,5718,52.3784,4.9009
Netherlands Antilles,20,-68.2680,-68.268
New Caledonia,18,-20.9043,165.618
New Zealand,1319,-40.9006,174.886
Nicaragua,64,12.8654,-85.2072
Niger,52,17.6078,8.0817
Nigeria,605,9.082,8.6753
Niue,2,-19.0544,-169.867
Norfolk Island,1,-29.0408,167.9547
North Korea,128,40.3399,127.5101
Northern Ireland,75,54.7877,-6.4923
Northern Mariana Islands,6,15.0979,145.6739
Norway,2825,60.472,8.4689
Oman,16,21.4735,55.9754
Pakistan,530,30.3753,69.3451
Palau,5,7.5149,134.5825
Palestinian Territory,365,31.9522,35.2332
Panama,102,8.538,-80.7821
Papua New Guinea,38,-6.3149,143.9555
Paraguay,138,-23.4425,-58.4438
Peru,921,-9.19,-75.0152
Philippines,6410,12.8797,121.774
Pitcairn Island,2,-24.7036,-127.4393
Poland,4617,51.9194,19.1451
Portugal,3145,39.3999,8.2245
Puerto Rico,1132,18.2208,66.5901
Qatar,294,25.3548,51.1839
Reunion,21,-21.1151,55.5364
Romania,1596,45.9432,24.9668
Russia,8691,55.7558,37.6176
Rwanda,46,-1.9403,29.8739
Samoa,9,-13.759,-172.1046
San Marino,12,43.9333,12.45
Sao Tome and Principe,6,0.1864,6.6131
Saudi Arabia,204,23.8859,45.0792
Senegal,187,14.6928,-14.0068
Serbia,982,44.0165,21.0059
